Vis,U,V,W
 (-1.001893728971481323e-01+-6.474079418694600463e-05j), (1.156169220554185813e+04+0.000000000000000000e+00j), (3.427827535546272884e+03+0.000000000000000000e+00j), (-7.051429446165440822e+03+0.000000000000000000e+00j)
 (1.255537867546081543e-01+3.274014306953176856e-05j), (1.474216530383129066e+04+0.000000000000000000e+00j), (4.379116076587312818e+03+0.000000000000000000e+00j), (-8.986988356731088061e+03+0.000000000000000000e+00j)
 (3.109604120254516602e-01+1.077743945643305779e-05j), (-3.077673442127847920e+03+0.000000000000000000e+00j), (-6.772030027545874873e+02+0.000000000000000000e+00j), (1.434250212291348134e+03+0.000000000000000000e+00j)
 (2.765539288520812988e-01+-8.539333293811068870e-07j), (-4.081149232958920948e+03+0.000000000000000000e+00j), (-4.730081014181351406e+02+0.000000000000000000e+00j), (1.016670162649255417e+03+0.000000000000000000e+00j)
 (3.023039996623992920e-01+-1.711255572445224971e-05j), (-5.531334484121622154e+03+0.000000000000000000e+00j), (-1.875070016360140244e+02+0.000000000000000000e+00j), (4.085800169016524706e+02+0.000000000000000000e+00j)
 (3.768698871135711670e-02+-5.118300578033085912e-06j), (-7.377676388981642958e+03+0.000000000000000000e+00j), (1.828026141434875171e+02+0.000000000000000000e+00j), (-3.623420464624264241e+02+0.000000000000000000e+00j)
 (-3.298076689243316650e-01+2.081280945276375860e-05j), (-9.588717433393045212e+03+0.000000000000000000e+00j), (6.270101188965645633e+02+0.000000000000000000e+00j), (-1.285145161988087239e+03+0.000000000000000000e+00j)
 (-7.771115005016326904e-02+-1.948735553014557809e-05j), (-1.214153594935650108e+04+0.000000000000000000e+00j), (1.156092342570127812e+03+0.000000000000000000e+00j), (-2.342496093800520612e+03+0.000000000000000000e+00j)
 (-1.366956532001495361e-01+-5.449517175293294713e-06j), (-1.501902709308414705e+04+0.000000000000000000e+00j), (1.748500740251597108e+03+0.000000000000000000e+00j), (-3.536189283750340110e+03+0.000000000000000000e+00j)
 (-7.167456299066543579e-02+1.573403642396442592e-05j), (-1.820716386193047583e+04+0.000000000000000000e+00j), (2.389026581033753700e+03+0.000000000000000000e+00j), (-4.866363756607603136e+03+0.000000000000000000e+00j)
 (2.986378669738769531e-01+-1.444677491235779598e-05j), (-2.175053774904560851e+04+0.000000000000000000e+00j), (3.117342056061389940e+03+0.000000000000000000e+00j), (-6.168980584661783723e+03+0.000000000000000000e+00j)
 (3.867927789688110352e-01+1.350151887891115621e-05j), (-2.599333031789910819e+03+0.000000000000000000e+00j), (-9.565866488298103150e+02+0.000000000000000000e+00j), (2.007835490350801592e+03+0.000000000000000000e+00j)
 (4.106532931327819824e-01+1.142188193625770509e-05j), (-2.509886851904385821e+03+0.000000000000000000e+00j), (-1.388553486369751909e+03+0.000000000000000000e+00j), (2.902203664976474101e+03+0.000000000000000000e+00j)
